timestamp,elapsed_sec,posture_status,posture_score,deviation_px,bpm,alert_level,total_blinks
2026-04-24 14:27:17,3.0,No Face,100,0,0,critical,0
2026-04-24 14:27:22,8.2,No Ref,100,0,0,critical,0
2026-04-24 14:27:27,13.2,No Ref,100,0,4,critical,4
2026-04-24 14:27:32,18.3,No Ref,100,0,8,low,8
2026-04-24 14:27:37,23.3,No Ref,100,0,8,low,8
2026-04-24 14:27:42,28.3,No Ref,100,0,8,low,8
2026-04-24 14:27:47,33.4,No Ref,100,0,8,low,8
2026-04-24 14:27:52,38.4,Up,5,-76,8,low,8
2026-04-24 14:27:57,43.5,Up,25,-60,8,low,8
2026-04-24 14:28:02,48.6,Up,0,-82,9,low,9
2026-04-24 14:28:07,53.6,Up,42,-47,9,low,9
2026-04-24 14:28:12,58.7,Bad,28,58,10,low,10
2026-04-24 14:28:17,63.7,Bad,0,141,14,ok,14
2026-04-24 14:28:22,68.7,Bad,23,62,14,ok,14
2026-04-24 14:28:27,73.7,No Face,100,0,10,low,14
2026-04-24 14:28:32,78.7,No Face,100,0,6,critical,14
2026-04-24 14:28:37,83.7,No Face,100,0,6,critical,14
