timestamp,elapsed_sec,posture_status,posture_score,deviation_px,bpm,alert_level,total_blinks
2026-04-24 14:30:54,2.9,No Face,100,0,0,critical,0
2026-04-24 14:30:59,8.1,No Face,100,0,0,critical,0
2026-04-24 14:31:04,13.1,No Ref,100,0,0,critical,0
2026-04-24 14:31:09,18.1,No Ref,100,0,0,critical,0
2026-04-24 14:31:14,23.2,No Face,100,0,0,critical,0
2026-04-24 14:31:19,28.2,No Face,100,0,1,critical,1
2026-04-24 14:31:24,33.3,No Ref,100,0,1,critical,1
2026-04-24 14:31:29,38.3,No Ref,100,0,1,critical,1
2026-04-24 14:31:34,43.3,No Ref,100,0,1,critical,1
2026-04-24 14:31:39,48.3,No Ref,100,0,2,critical,2
2026-04-24 14:31:44,53.4,No Ref,100,0,2,critical,2
2026-04-24 14:31:50,58.4,No Ref,100,0,2,critical,2
2026-04-24 14:31:55,63.5,No Ref,100,0,2,critical,2
2026-04-24 14:32:00,68.6,No Ref,100,0,2,critical,2
2026-04-24 14:32:05,73.8,No Ref,100,0,2,critical,2
2026-04-24 14:32:10,78.8,No Ref,100,0,3,critical,3
2026-04-24 14:32:15,83.9,No Ref,100,0,3,critical,3
2026-04-24 14:32:20,88.9,No Ref,100,0,3,critical,4
2026-04-24 14:32:25,93.9,No Face,100,0,4,critical,5
2026-04-24 14:32:30,99.0,Warning,69,25,4,critical,5
2026-04-24 14:32:35,104.0,Warning,75,-20,4,critical,5
2026-04-24 14:32:40,109.0,Good,83,14,3,critical,5
2026-04-24 14:32:45,114.1,No Face,100,0,3,critical,5
2026-04-24 14:32:50,119.2,Warning,73,22,3,critical,5
2026-04-24 14:32:55,124.2,Warning,67,27,3,critical,5
2026-04-24 14:33:00,129.2,Good,84,13,3,critical,5
