timestamp,elapsed_sec,posture_status,posture_score,deviation_px,bpm,alert_level,total_blinks
2026-04-27 15:44:14,4.9,No Ref,100,0,0,critical,0
2026-04-27 15:44:19,10.0,No Face,100,0,0,critical,0
2026-04-27 15:44:24,15.0,No Ref,100,0,0,critical,0
2026-04-27 15:44:29,20.0,No Face,100,0,0,critical,0
2026-04-27 15:44:34,25.1,No Ref,100,0,1,critical,1
2026-04-27 15:44:39,30.1,No Ref,100,0,2,critical,2
2026-04-27 15:44:44,35.1,No Ref,100,0,2,critical,2
2026-04-27 15:44:49,40.1,Up,67,-27,2,critical,2
2026-04-27 15:44:54,45.2,Warning,73,-22,2,critical,2
2026-04-27 15:44:59,50.2,Good,85,12,2,critical,2
2026-04-27 15:45:04,55.2,Bad,45,44,2,critical,2
2026-04-27 15:45:09,60.3,Good,83,-14,2,critical,2
2026-04-27 15:45:14,65.3,Good,99,1,2,critical,2
2026-04-27 15:45:19,70.3,Good,84,-13,2,critical,2
2026-04-27 15:45:24,75.4,Warning,72,23,3,critical,3
2026-04-27 15:45:30,80.4,Good,99,1,3,critical,3
2026-04-27 15:45:35,85.4,Good,95,-4,2,critical,3
2026-04-27 15:45:40,90.5,Good,87,-11,1,critical,3
2026-04-27 15:45:45,95.5,Good,83,14,1,critical,3
2026-04-27 15:45:50,100.6,Good,83,14,2,critical,4
2026-04-27 15:45:55,105.6,Up,38,-50,2,critical,4
2026-04-27 15:46:00,110.6,Good,93,6,4,critical,6
2026-04-27 15:46:05,115.6,No Face,100,0,6,critical,8
2026-04-27 15:46:10,120.7,Warning,70,24,8,low,10
2026-04-27 15:46:15,125.7,Up,0,-132,8,low,10
2026-04-27 15:46:20,130.7,Up,48,-42,8,low,10
2026-04-27 15:46:25,135.7,Bad,59,33,7,critical,10
2026-04-27 15:46:30,140.7,Bad,59,33,7,critical,10
2026-04-27 15:46:35,145.7,Up,50,-40,7,critical,10
2026-04-27 15:46:40,150.8,Up,57,-35,7,critical,10
2026-04-27 15:46:45,155.8,Up,67,-27,7,critical,10
2026-04-27 15:46:50,160.9,Warning,75,-20,6,critical,10
2026-04-27 15:46:55,165.9,Good,95,4,6,critical,10
2026-04-27 15:47:00,170.9,Good,88,-10,4,critical,10
2026-04-27 15:47:05,175.9,Warning,74,-21,5,critical,13
