timestamp,elapsed_sec,posture_status,posture_score,deviation_px,bpm,alert_level,total_blinks
2026-04-24 14:49:29,3.2,No Face,100,0,0,critical,0
2026-04-24 14:49:34,8.4,No Ref,100,0,0,critical,0
2026-04-24 14:49:39,13.5,No Ref,100,0,2,critical,2
2026-04-24 14:49:44,18.5,No Ref,100,0,5,critical,5
2026-04-24 14:49:49,23.6,No Ref,100,0,8,low,8
2026-04-24 14:49:54,28.7,No Ref,100,0,13,ok,13
2026-04-24 14:49:59,33.8,Up,68,-26,13,ok,13
2026-04-24 14:50:05,39.0,Good,82,-15,15,ok,15
2026-04-24 14:50:10,44.1,Bad,37,51,15,ok,15
2026-04-24 14:50:15,49.1,Good,83,14,18,ok,18
2026-04-24 14:50:20,54.2,Good,84,13,18,ok,18
2026-04-24 14:50:25,59.2,Warning,79,17,20,ok,20
2026-04-24 14:50:30,64.3,Good,95,4,20,ok,20
2026-04-24 14:50:35,69.4,No Face,100,0,20,ok,20
2026-04-24 14:50:40,74.4,Warning,77,-19,18,ok,20
2026-04-24 14:50:45,79.5,Good,90,8,15,ok,20
2026-04-24 14:50:50,84.7,Warning,70,-24,11,low,21
2026-04-24 14:50:55,89.7,Warning,73,22,9,low,22
2026-04-24 14:51:00,94.8,Warning,63,30,9,low,22
2026-04-24 14:51:05,99.8,Warning,64,29,7,critical,22
2026-04-24 14:51:10,104.8,Warning,79,17,10,low,26
2026-04-24 14:51:15,109.9,Up,0,-93,9,low,27
2026-04-24 14:51:21,115.0,Warning,79,17,7,critical,27
2026-04-24 14:51:26,120.1,Bad,30,56,7,critical,27
2026-04-24 14:51:31,125.2,Good,82,15,7,critical,27
2026-04-24 14:51:36,130.2,Bad,55,36,7,critical,27
2026-04-24 14:51:41,135.2,No Face,100,0,7,critical,27
2026-04-24 14:51:46,140.4,Bad,0,111,7,critical,27
2026-04-24 14:51:51,145.4,Bad,49,41,7,critical,28
2026-04-24 14:51:56,150.5,Bad,44,45,6,critical,28
2026-04-24 14:52:01,155.5,Good,92,-7,9,low,31
2026-04-24 14:52:06,160.5,Bad,27,59,9,low,31
2026-04-24 14:52:11,165.5,Warning,65,28,5,critical,31
2026-04-24 14:52:16,170.5,Bad,49,41,4,critical,31
2026-04-24 14:52:21,175.6,Warning,72,23,4,critical,31
2026-04-24 14:52:26,180.6,Good,90,8,4,critical,31
